metric,n,spearman_rho,p_value
codebleu,1000,0.8731713496494058,9.6089332704e-314
crystalbleu,1000,0.5886367422693791,2.7631467438632395e-94
codebertscore,1000,0.881108814371795,5e-324
codescore,1000,0.3481255853474691,7.255794158345359e-30
